data_year,criminal_act_id,offense_id
2022,8,179623187
2022,6,179623259
2022,6,178982102
2022,6,178981932
2022,2,178981971
2022,2,178982046
2022,3,190552937
2022,2,190552971
2022,6,190552971
2022,6,182755524
2022,8,182755656
2022,5,182755843
2022,6,190559655
2022,6,201177522
2022,8,193651539
2022,5,185556037
2022,8,185555956
2022,6,184118839
2022,6,193651557
2022,6,201188736
2022,8,184118866
2022,6,184119387
2022,6,184119438
2022,3,187495186
2022,6,195436111
2022,9,184112042
2022,14,187456520
2022,3,184112071
2022,3,184111999
2022,6,187456528
2022,6,187456529
2022,6,195436112
2022,5,187495382
2022,8,187495355
2022,6,189127219
2022,6,189121177
2022,9,180845989
2022,9,189121190
2022,6,189127167
2022,6,189121206
2022,9,180846020
2022,9,189121233
2022,1,189127160
2022,9,192231985
2022,8,190553333
2022,6,189127139
2022,3,189127171
2022,8,193643575
2022,6,195436126
2022,6,193641029
2022,6,192231973
2022,4,189127196
2022,8,189127347
2022,2,190553073
2022,3,190553073
2022,6,190553073
2022,6,193643495
2022,9,201157195
2022,6,193641069
2022,9,184112061
2022,3,193643504
2022,6,201157499
2022,2,189121243
2022,6,184112093
2022,6,184112098
2022,6,201177658
2022,4,201177663
2022,6,195436124
2022,5,195436177
2022,1,195436223
2022,6,201177674
2022,6,201177675
2022,6,201761687
2022,2,181525956
2022,6,195436189
2022,6,182751262
2022,3,195436286
2022,6,195436286
2022,6,201177717
2022,6,195436427
2022,6,192232556
2022,3,201761706
2022,6,201177752
2022,6,195436639
2022,6,201177844
2022,6,193642425
2022,3,193642482
2022,6,193642483
2022,6,201177747
2022,6,201177763
2022,3,201177749
2022,5,193642682
2022,6,201177855
2022,8,201177809
2022,6,201176334
2022,6,201177853
2022,6,201177904
2022,6,201177900
2022,3,201761881
2022,6,201176307
2022,6,201176346
2022,6,201178045
2022,6,201177971
2022,2,179620711
2022,1,179620916
2022,8,179620971
2022,2,179620974
2022,8,182751434
2022,8,182751486
2022,8,182751459
2022,8,182751466
2022,8,182751403
2022,8,182751800
2022,8,182751621
2022,4,187494978
2022,8,185555790
2022,8,185555690
2022,6,201160103
2022,6,201160104
2022,8,187495110
2022,8,187495005
2022,8,189123533
2022,8,189123730
2022,8,189123743
2022,8,201160121
2022,8,195435971
2022,8,201160358
2022,6,201160183
2022,6,201160184
2022,8,201160389
2022,8,201160486
2022,8,201160496
2022,6,179624519
2022,6,179624520
2022,8,181525923
2022,8,179624507
2022,2,181525954
2022,8,181525985
2022,1,181525998
2022,2,179624584
2022,6,179624611
2022,6,195444052
2022,6,195444053
2022,6,181526026
2022,8,184116774
2022,2,181525921
2022,2,181526002
2022,2,181525883
2022,2,181525895
2022,2,189124626
2022,2,181525914
2022,14,185561764
2022,2,181526031
2022,2,185561641
2022,2,181525930
2022,2,181525992
2022,6,185561723
2022,6,189124695
2022,1,185562013
2022,2,185562104
2022,3,187500998
2022,8,187501123
2022,6,187501328
2022,7,190559954
2022,1,190560122
2022,6,192239830
2022,6,192239832
2022,8,192239689
2022,6,192239842
2022,1,192239987
2022,3,193651651
2022,6,193651651
2022,6,193651652
2022,6,192240124
2022,8,193651798
2022,2,193651788
2022,6,193651791
2022,7,201170012
2022,6,195444235
2022,6,195443977
2022,3,195444026
2022,1,201170041
2022,6,201169956
2022,3,201170337
2022,1,201170261
2022,6,201170068
2022,2,201170423
2022,2,201170265
2022,9,178995138
2022,8,182758025
2022,9,178995050
2022,6,178995168
2022,6,178994951
2022,7,178994952
2022,9,180849588
2022,9,180849738
2022,6,180849887
2022,9,180849691
2022,9,180849761
2022,9,182758170
2022,9,182758194
2022,9,184121382
2022,8,192238730
2022,5,192238766
2022,1,185560893
2022,3,185560969
2022,1,192238951
2022,2,201188967
2022,2,195443182
2022,6,201188893
2022,6,201188894
2022,2,201188849
2022,6,178979318
2022,8,178979151
2022,6,185555550
2022,6,178979340
2022,6,185555565
2022,6,185555566
2022,8,185555560
2022,6,185555561
2022,2,190551070
2022,6,179620281
2022,12,185555945
2022,2,190551021
2022,3,190551021
2022,4,190551021
2022,6,185555853
2022,6,185555854
2022,3,201157621
2022,6,190551066
2022,3,185556103
2022,12,190550924
2022,8,185556221
2022,6,185556265
2022,6,185556548
2022,7,185556500
2022,6,185556541
2022,6,185556542
2022,6,190553298
2022,6,190553299
2022,6,201157685
2022,2,201157702
2022,2,190551086
2022,6,190551167
2022,3,190551156
2022,6,190551157
2022,6,201762372
2022,6,201157822
2022,6,190551374
2022,6,201157910
2022,14,201762032
2022,1,201157929
2022,1,201157950
2022,2,201157891
2022,6,201157973
2022,6,201158576
2022,8,201158576
2022,6,201158577
2022,7,201158757
2022,6,201158794
2022,5,201158867
2022,8,201158248
2022,8,201158257
2022,6,201158294
2022,6,201158306
2022,3,201158433
2022,6,201762016
2022,6,201158640
2022,8,201158636
2022,6,201158566
2022,3,201158649
2022,8,201158676
2022,8,201762135
2022,6,201158773
2022,6,201158734
2022,8,201158797
2022,6,201158805
2022,6,201158822
2022,6,201158823
2022,6,201762030
2022,6,201762099
2022,8,201762157
2022,6,201762131
2022,8,201762213
2022,6,201762173
2022,1,201762231
2022,6,201762246
2022,6,201762293
2022,6,201762334
2022,6,201762353
2022,6,201762393
2022,6,201762345
2022,6,201762708
2022,6,201762872
2022,2,201762690
2022,6,201762730
2022,6,201762731
2022,6,201173654
2022,6,201173655
2022,8,179619510
2022,8,179619511
2022,1,179619519
2022,3,184117659
2022,3,184117664
2022,6,192231656
2022,1,187492372
2022,2,187492752
2022,6,187492795
2022,1,187492887
2022,8,190550446
2022,8,189125810
2022,8,190550493
2022,1,201173665
2022,12,192231809
2022,3,201173723
2022,3,193640343
2022,4,193640343
2022,6,193640343
2022,1,192231844
2022,6,201173748
2022,3,201173775
2022,8,201173789
2022,14,195432959
2022,6,201174194
2022,14,201174391
2022,6,201174052
2022,6,179622133
2022,6,178988717
2022,6,178988619
2022,6,178988620
2022,6,178988734
2022,6,178989179
2022,6,185558129
2022,6,179622202
2022,6,179622203
2022,6,185558506
2022,6,178989136
2022,6,178989312
2022,14,178989427
2022,6,178989586
2022,6,184114250
2022,6,178989487
2022,6,178989897
2022,6,187456729
2022,6,178989781
2022,6,178990009
2022,6,178990010
2022,6,178990050
2022,6,192236063
2022,6,190556107
2022,6,190556108
2022,6,179622278
2022,6,190556156
2022,6,190556157
2022,6,178990110
2022,6,179622384
2022,6,195438123
2022,6,182755123
2022,6,179622498
2022,2,179622572
2022,6,179622557
2022,6,179622944
2022,8,182755196
2022,3,179622677
2022,6,179622543
2022,6,195438194
2022,6,195438195
2022,6,179623023
2022,6,179623024
2022,6,182755160
2022,6,195438224
2022,6,179623169
2022,6,182755215
2022,6,179623325
2022,6,182755269
2022,6,201162755
2022,6,185558111
2022,6,190556198
2022,6,190556199
2022,6,190556200
2022,6,179623569
2022,6,182755244
2022,6,179623662
2022,6,179623664
2022,8,179623675
2022,6,182755233
2022,3,182755405
2022,6,182755458
2022,6,184114284
2022,6,195438005
2022,6,195438052
2022,6,195438053
2022,6,201162707
2022,6,201162708
2022,6,182755595
2022,6,182755677
2022,6,182755330
2022,6,182755364
2022,6,182755400
2022,2,182755669
2022,6,182755583
2022,6,182755591
2022,6,182756089
2022,8,182755812
2022,6,182755770
2022,6,182755916
2022,6,182755904
