year,agency_location,incident_date,incident_hour,agency_name,state,population,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,offense_name,offense_category_name,criminal_act_name,location_area
2022,2120,2022-01-02,18,Ansonia,Connecticut,18750,29.0,1.0,30.0,5.0,9.0,14.0,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Residence/Home
2022,2120,2022-01-12,11,Ansonia,Connecticut,18750,29.0,1.0,30.0,5.0,9.0,14.0,Counterfeiting/Forgery,Counterfeiting/Forgery,Possessing/Concealing,Service/Gas Station
2022,2120,2022-01-12,12,Ansonia,Connecticut,18750,29.0,1.0,30.0,5.0,9.0,14.0,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2022,2120,2022-01-16,15,Ansonia,Connecticut,18750,29.0,1.0,30.0,5.0,9.0,14.0,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Government/Public Building
2022,2120,2022-01-27,15,Ansonia,Connecticut,18750,29.0,1.0,30.0,5.0,9.0,14.0,Counterfeiting/Forgery,Counterfeiting/Forgery,Cultivating/Manufacturing/Publishing,Bank/Savings and Loan
2022,2120,2022-01-27,19,Ansonia,Connecticut,18750,29.0,1.0,30.0,5.0,9.0,14.0,Counterfeiting/Forgery,Counterfeiting/Forgery,Cultivating/Manufacturing/Publishing,Department/Discount Store
2022,22570,2022-08-15,19,Department of Energy and Environmental Protection,Connecticut,0,35.0,4.0,39.0,9.0,5.0,14.0,Stolen Property Offenses,Stolen Property Offenses,Possessing/Concealing,Camp/Campground
2022,22570,2022-09-14,15,Department of Energy and Environmental Protection,Connecticut,0,35.0,4.0,39.0,9.0,5.0,14.0,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Parking/Drop Lot/Garage
2022,22570,2022-10-12,17,Department of Energy and Environmental Protection,Connecticut,0,35.0,4.0,39.0,9.0,5.0,14.0,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Field/Woods
2022,22570,2022-12-14,12,Department of Energy and Environmental Protection,Connecticut,0,35.0,4.0,39.0,9.0,5.0,14.0,Counterfeiting/Forgery,Counterfeiting/Forgery,Possessing/Concealing,Field/Woods
2022,26203,2022-03-19,13,Ledyard,Connecticut,15340,20.0,4.0,24.0,3.0,5.0,8.0,Fondling,Sex Offenses,None/Unknown,Residence/Home
2022,26203,2022-05-03,18,Ledyard,Connecticut,15340,20.0,4.0,24.0,3.0,5.0,8.0,Animal Cruelty,Animal Cruelty,Intentional Abuse and Torture,Drug Store/Doctor's Office/Hospital
2022,26203,2022-04-03,9,Ledyard,Connecticut,15340,20.0,4.0,24.0,3.0,5.0,8.0,Counterfeiting/Forgery,Counterfeiting/Forgery,Distributing/Selling,Convenience Store
2022,26203,2022-04-03,14,Ledyard,Connecticut,15340,20.0,4.0,24.0,3.0,5.0,8.0,Counterfeiting/Forgery,Counterfeiting/Forgery,Distributing/Selling,Liquor Store
2022,26203,2022-05-07,2,Ledyard,Connecticut,15340,20.0,4.0,24.0,3.0,5.0,8.0,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2022,26203,2022-05-08,2,Ledyard,Connecticut,15340,20.0,4.0,24.0,3.0,5.0,8.0,Counterfeiting/Forgery,Counterfeiting/Forgery,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
