yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
21592022,2159,2022,CT0008000,CT0008000,,N,N,,I,MERIDEN,MERIDEN PD,Meriden,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,60332,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,106,10,116,15,9,24,2.0,2.3,1998-01-01,2021-01-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21602022,2160,2022,CT0008100,CT0008100,,N,N,,I,MIDDLEBURY,MIDDLEBURY PD,Middlebury,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,7793,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,1,13,0,1,1,1.5,1.8,1998-01-01,2012-04-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21612022,2161,2022,CT0008300,CT0008300,,N,N,,I,MIDDLETOWN,MIDDLETOWN PD,Middletown,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,47256,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,99,5,104,10,11,21,2.3,2.6,1998-01-01,2008-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,MIDDLESEX,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21622022,2162,2022,CT0008400,CT0008400,,N,N,,I,MILFORD,MILFORD PD,Milford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,52694,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,87,5,92,25,18,43,2.1,2.6,1998-01-01,2020-12-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21632022,2163,2022,CT0008500,CT0008500,,N,N,,I,MONROE,MONROE PD,Monroe,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,18772,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,5,39,7,5,12,2.2,2.7,1998-01-01,1998-01-01,2021-01-01,2020-03-01,2021-01-01,2021-01-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21652022,2165,2022,CT0008800,CT0008800,,N,N,,I,NAUGATUCK,NAUGATUCK PD,Naugatuck,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,31356,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,52,6,58,7,6,13,1.9,2.3,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21662022,2166,2022,CT0008900,CT0008900,,N,N,,I,NEW BRITAIN,NEW BRITAIN PD,New Britain,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,73621,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,141,1,142,14,5,19,2.1,2.2,1998-01-01,2019-05-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21672022,2167,2022,CT0009000,CT0009000,,N,N,,I,NEW CANAAN,NEW CANAAN PD,New Canaan,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,20924,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,39,1,40,7,4,11,2.2,2.4,1998-01-01,2003-06-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21682022,2168,2022,CT0009300,CT0009300,,N,N,,I,NEW HAVEN,NEW HAVEN PD,New Haven,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,136205,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,260,20,280,57,34,91,2.3,2.7,1998-01-01,1999-05-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21692022,2169,2022,CT0009400,CT0009400,,N,N,,I,NEWINGTON,NEWINGTON PD,Newington,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,30277,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,39,7,46,8,8,16,1.6,2.0,1998-01-01,2016-10-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
