year,agency_location,incident_date,incident_hour,agency_name,state,population,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,offense_name,offense_category_name,criminal_act_name,location_area
2023,22570,2023-04-20,22,Department of Energy and Environmental Protection,Connecticut,0,46,5,51,12,5,17,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,22570,2023-06-16,15,Department of Energy and Environmental Protection,Connecticut,0,46,5,51,12,5,17,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Field/Woods
2023,22570,2023-08-20,14,Department of Energy and Environmental Protection,Connecticut,0,46,5,51,12,5,17,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Park/Playground
2023,22570,2023-08-31,18,Department of Energy and Environmental Protection,Connecticut,0,46,5,51,12,5,17,Stolen Property Offenses,Stolen Property Offenses,Using/Consuming,Department/Discount Store
2023,22570,2023-11-23,11,Department of Energy and Environmental Protection,Connecticut,0,46,5,51,12,5,17,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Field/Woods
2023,22570,2023-12-16,7,Department of Energy and Environmental Protection,Connecticut,0,46,5,51,12,5,17,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Lake/Waterway/Beach
2023,26203,2023-03-16,21,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-01-07,13,Ledyard,Connecticut,15490,20,3,23,3,6,9,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,26203,2023-03-30,14,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,Juvenile Gang,Residence/Home
2023,26203,2023-02-01,16,Ledyard,Connecticut,15490,20,3,23,3,6,9,Counterfeiting/Forgery,Counterfeiting/Forgery,Buying/Receiving,Residence/Home
2023,26203,2023-03-24,18,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-04-18,15,Ledyard,Connecticut,15490,20,3,23,3,6,9,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,School-Elementary/Secondary
2023,26203,2023-04-09,13,Ledyard,Connecticut,15490,20,3,23,3,6,9,Animal Cruelty,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,26203,2023-05-03,14,Ledyard,Connecticut,15490,20,3,23,3,6,9,Aggravated Assault,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-05-12,23,Ledyard,Connecticut,15490,20,3,23,3,6,9,Drug Equipment Violations,Drug/Narcotic Offenses,Using/Consuming,Residence/Home
2023,26203,2023-05-18,3,Ledyard,Connecticut,15490,20,3,23,3,6,9,Aggravated Assault,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-01-12,11,Ledyard,Connecticut,15490,20,3,23,3,6,9,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,26203,2023-05-22,19,Ledyard,Connecticut,15490,20,3,23,3,6,9,Aggravated Assault,Assault Offenses,None/Unknown,Convenience Store
2023,26203,2023-01-12,13,Ledyard,Connecticut,15490,20,3,23,3,6,9,Aggravated Assault,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
2023,26203,2023-01-12,13,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
2023,26203,2023-01-22,19,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-07-24,18,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Shelter-Mission/Homeless
2023,26203,2023-07-29,0,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Shelter-Mission/Homeless
2023,26203,2023-08-29,18,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-08-30,23,Ledyard,Connecticut,15490,20,3,23,3,6,9,Intimidation,Assault Offenses,None/Unknown,Shelter-Mission/Homeless
2023,26203,2023-09-01,11,Ledyard,Connecticut,15490,20,3,23,3,6,9,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,26203,2023-09-01,11,Ledyard,Connecticut,15490,20,3,23,3,6,9,Drug/Narcotic Violations,Drug/Narcotic Offenses,Transporting/Transmitting/Importing,Highway/Road/Alley/Street/Sidewalk
2023,26203,2023-02-02,10,Ledyard,Connecticut,15490,20,3,23,3,6,9,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,26203,2023-02-02,10,Ledyard,Connecticut,15490,20,3,23,3,6,9,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,26203,2023-10-23,21,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-08-25,18,Ledyard,Connecticut,15490,20,3,23,3,6,9,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2023,26203,2023-11-06,11,Ledyard,Connecticut,15490,20,3,23,3,6,9,Animal Cruelty,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,26203,2023-11-30,0,Ledyard,Connecticut,15490,20,3,23,3,6,9,Intimidation,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-10-01,16,Ledyard,Connecticut,15490,20,3,23,3,6,9,Criminal Sexual Contact,Sex Offenses,None/Unknown,Residence/Home
2023,26203,2023-10-27,14,Ledyard,Connecticut,15490,20,3,23,3,6,9,Simple Assault,Assault Offenses,None/Unknown,Residence/Home
2023,26203,2023-11-16,17,Ledyard,Connecticut,15490,20,3,23,3,6,9,Pornography/Obscene Material,Pornography/Obscene Material,Distributing/Selling,Residence/Home
2023,26203,2023-11-16,17,Ledyard,Connecticut,15490,20,3,23,3,6,9,Pornography/Obscene Material,Pornography/Obscene Material,Exploiting Children,Residence/Home
2023,26203,2023-11-21,16,Ledyard,Connecticut,15490,20,3,23,3,6,9,Drug/Narcotic Violations,Drug/Narcotic Offenses,Using/Consuming,Residence/Home
2023,26203,2023-02-18,7,Ledyard,Connecticut,15490,20,3,23,3,6,9,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2023,26203,2023-02-20,14,Ledyard,Connecticut,15490,20,3,23,3,6,9,Counterfeiting/Forgery,Counterfeiting/Forgery,Buying/Receiving,Residence/Home
2023,26203,2023-03-02,20,Ledyard,Connecticut,15490,20,3,23,3,6,9,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2023,26203,2023-01-10,3,Ledyard,Connecticut,15490,20,3,23,3,6,9,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Convenience Store
2023,33677,2023-02-06,15,Yale University,Connecticut,0,69,5,74,18,12,30,Stolen Property Offenses,Stolen Property Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,33677,2023-02-15,17,Yale University,Connecticut,0,69,5,74,18,12,30,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2023,33677,2023-02-22,16,Yale University,Connecticut,0,69,5,74,18,12,30,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,School-College/University
2023,33677,2023-02-22,16,Yale University,Connecticut,0,69,5,74,18,12,30,Drug Equipment Violations,Drug/Narcotic Offenses,Using/Consuming,School-College/University
2023,2120,2023-01-04,15,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,2120,2023-01-04,15,Ansonia,Connecticut,18942,36,1,37,6,8,14,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Parking/Drop Lot/Garage
2023,2120,2023-01-11,22,Ansonia,Connecticut,18942,36,1,37,6,8,14,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2023,2120,2023-01-13,13,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Highway/Road/Alley/Street/Sidewalk
2023,2120,2023-01-21,3,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,2120,2023-01-28,6,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,2120,2023-01-29,20,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,2120,2023-02-04,1,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2023,33677,2023-08-01,9,Yale University,Connecticut,0,69,5,74,18,12,30,Pornography/Obscene Material,Pornography/Obscene Material,Cultivating/Manufacturing/Publishing,School-College/University
2023,33677,2023-08-01,9,Yale University,Connecticut,0,69,5,74,18,12,30,Pornography/Obscene Material,Pornography/Obscene Material,Distributing/Selling,School-College/University
2023,2120,2023-03-08,3,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2023,2120,2023-03-08,3,Ansonia,Connecticut,18942,36,1,37,6,8,14,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2023,2120,2023-03-23,18,Ansonia,Connecticut,18942,36,1,37,6,8,14,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2023,2120,2023-03-24,8,Ansonia,Connecticut,18942,36,1,37,6,8,14,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,School/College
2023,2120,2023-03-29,5,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Residence/Home
2023,2120,2023-03-29,7,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Government/Public Building
2023,2120,2023-03-29,18,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Specialty Store
2023,2120,2023-04-08,16,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,2120,2023-04-24,13,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,School-Elementary/Secondary
2023,2120,2023-04-27,11,Ansonia,Connecticut,18942,36,1,37,6,8,14,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2023,2120,2023-05-03,4,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,2120,2023-05-03,4,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,2120,2023-05-04,10,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,2120,2023-05-12,16,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,33677,2023-11-28,10,Yale University,Connecticut,0,69,5,74,18,12,30,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,School-College/University
2023,37041,2023-01-22,17,Montville,Connecticut,17798,25,5,30,4,6,10,Pornography/Obscene Material,Pornography/Obscene Material,Distributing/Selling,Residence/Home
2023,37041,2023-05-05,19,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Highway/Road/Alley/Street/Sidewalk
2023,37041,2023-06-28,11,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Residence/Home
2023,37041,2023-07-20,19,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,37041,2023-07-24,9,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Government/Public Building
2023,37041,2023-07-31,3,Montville,Connecticut,17798,25,5,30,4,6,10,Stolen Property Offenses,Stolen Property Offenses,Possessing/Concealing,Other/Unknown
2023,37041,2023-09-09,9,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,37041,2023-09-10,9,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,37041,2023-09-28,16,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,37041,2023-10-26,13,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Highway/Road/Alley/Street/Sidewalk
2023,37041,2023-11-04,10,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,37041,2023-11-07,13,Montville,Connecticut,17798,25,5,30,4,6,10,Pornography/Obscene Material,Pornography/Obscene Material,Using/Consuming,Residence/Home
2023,37041,2023-11-20,13,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Parking/Drop Lot/Garage
2023,37041,2023-11-20,13,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,2120,2023-05-16,8,Ansonia,Connecticut,18942,36,1,37,6,8,14,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Government/Public Building
2023,37041,2023-12-08,12,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Parking/Drop Lot/Garage
2023,37041,2023-12-08,14,Montville,Connecticut,17798,25,5,30,4,6,10,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2023,37041,2023-12-16,17,Montville,Connecticut,17798,25,5,30,4,6,10,Counterfeiting/Forgery,Counterfeiting/Forgery,Using/Consuming,Convenience Store
2023,37041,2023-12-30,17,Montville,Connecticut,17798,25,5,30,4,6,10,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,2120,2023-05-22,18,Ansonia,Connecticut,18942,36,1,37,6,8,14,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2023,2120,2023-05-30,20,Ansonia,Connecticut,18942,36,1,37,6,8,14,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Residence/Home
